QuestionID,subtopic,type,difficulty,question_text,OptionA,OptionB,OptionC,OptionD,Correct_Option
50,Percentages,Adaptive,Level 2,"If 40% of A = 60% of B, find A : B.",2:3,3:2,4:5,5:4,3:2
51,Percentages,Adaptive,Level 2,A price is reduced by 10% and then increased by 10%. Find net % change.,0%,1%,-1%,2%,-1%
52,Percentages,Adaptive,Level 2,The cost price of an item is ₹400. It is sold at a profit of 20% after a discount of 10% on the marked price. Find MP.,₹500,₹520,₹540,₹550,₹500
53,Percentages,Adaptive,Level 2,The price of petrol rises by 25%. By how much % should a person reduce consumption to keep the cost same?,20%,18%,25%,15%,20%
54,Percentages,Adaptive,Level 2,An amount is increased by 10% and then again by 10%. Net % increase?,20%,21%,22%,23%,21%
55,Percentages,Adaptive,Level 2,"A person spends 75% of his income. If his income is ₹40,000, find his savings.","₹8,000","₹9,000","₹10,000","₹12,000","₹10,000"
56,Percentages,Adaptive,Level 2,Successive discounts of 15% and 5% are equal to a single discount of?,19%,18.25%,18%,17%,18.25%
57,Percentages,Adaptive,Level 2,A shopkeeper offers 10% discount but cheats by giving 10% less quantity. His profit % is?,1%,2%,0%,3%,0%
58,Percentages,Adaptive,Level 2,Price increases from ₹800 to ₹880. Find % increase.,8%,9%,10%,11%,10%
59,Percentages,Adaptive,Level 2,"An item is sold for ₹1,260 after a 30% discount. Find its marked price.","₹1,600","₹1,700","₹1,800","₹1,900","₹1,800"
60,Percentages,Adaptive,Level 2,"The cost price of an article is ₹500. After successive discounts of 20% and 10%, selling price is?",₹360,₹370,₹380,₹400,₹360
