Student ID,Topic,Score,Time Taken (seconds),Feedback,Recommended Path,Attempts
S030,Percentages,0,263,Level 1,Level 2 → Level 1 → Speed Test,3
S031,Time Speed and Distance,20,491,Level 2,Level 1 → Level 2 → Speed Test,3
S032,Time Speed and Distance,8,266,Speed Test,Level 1 → Speed Test → Level 2,3
S033,Percentages,24,291,Level 2,Level 1 → Level 2 → Speed Test,4
S034,Percentages,28,119,Speed Test,Speed Test → Level 1 → Level 2,3
S035,Time Speed and Distance,4,155,Level 2,Level 1 → Level 2 → Speed Test,4
S036,Time Speed and Distance,20,673,Level 1,Level 2 → Level 1 → Speed Test,5
S037,Percentages,12,887,Level 2,Level 1 → Level 2 → Speed Test,5
S038,Time Speed and Distance,36,142,Level 2,Level 2 → Level 1 → Speed Test,4
S039,Time Speed and Distance,12,894,Level 1,Level 1 → Level 2 → Speed Test,3
S040,Time and Work,16,654,Level 2,Speed Test → Level 1 → Level 2,1
S041,Time Speed and Distance,28,529,Level 2,Level 1 → Speed Test → Level 2,1
S042,Time and Work,32,662,Level 1,Level 1 → Speed Test → Level 2,3
S043,Time and Work,8,701,Speed Test,Level 1 → Speed Test → Level 2,4
S044,Percentages,16,462,Level 2,Level 1 → Level 2 → Speed Test,3
S045,Time and Work,24,624,Level 2,Level 1 → Speed Test → Level 2,1
S046,Time Speed and Distance,32,697,Level 1,Level 1 → Speed Test → Level 2,5
S047,Percentages,20,697,Level 1,Level 1 → Level 2 → Speed Test,2
S048,Time Speed and Distance,28,616,Speed Test,Level 2 → Level 1 → Speed Test,2
S049,Time Speed and Distance,28,691,Level 1,Level 2 → Level 1 → Speed Test,3
S050,Time and Work,36,615,Speed Test,Speed Test → Level 1 → Level 2,2
S051,Time Speed and Distance,36,855,Speed Test,Level 1 → Level 2 → Speed Test,2
S052,Time Speed and Distance,24,695,Speed Test,Level 1 → Speed Test → Level 2,5
S053,Time Speed and Distance,40,622,Speed Test,Level 1 → Speed Test → Level 2,3
S054,Time Speed and Distance,40,637,Level 2,Level 2 → Level 1 → Speed Test,4
S055,Percentages,36,443,Speed Test,Level 1 → Level 2 → Speed Test,1
S056,Time Speed and Distance,24,632,Level 1,Level 1 → Speed Test → Level 2,1
S057,Percentages,4,491,Level 1,Speed Test → Level 1 → Level 2,3
S058,Percentages,40,494,Level 2,Level 1 → Level 2 → Speed Test,4
S059,Percentages,36,825,Speed Test,Level 1 → Speed Test → Level 2,5
S060,Percentages,20,771,Level 2,Level 1 → Speed Test → Level 2,2
S061,Time Speed and Distance,40,380,Level 1,Speed Test → Level 1 → Level 2,1
S062,Time and Work,40,492,Level 1,Level 1 → Level 2 → Speed Test,1
S063,Time Speed and Distance,8,788,Level 2,Speed Test → Level 1 → Level 2,3
S064,Time and Work,24,719,Level 2,Level 1 → Level 2 → Speed Test,1
S065,Percentages,28,252,Level 1,Level 1 → Level 2 → Speed Test,5
S066,Time and Work,40,895,Speed Test,Level 2 → Level 1 → Speed Test,1
S067,Time and Work,24,603,Speed Test,Level 2 → Level 1 → Speed Test,2
S068,Percentages,16,718,Level 1,Level 1 → Speed Test → Level 2,4
S069,Percentages,28,782,Level 1,Level 1 → Speed Test → Level 2,3
S070,Time and Work,20,453,Speed Test,Speed Test → Level 1 → Level 2,4
S071,Percentages,20,778,Speed Test,Level 1 → Speed Test → Level 2,5
S072,Time and Work,16,431,Speed Test,Level 1 → Level 2 → Speed Test,3
S073,Time and Work,40,420,Speed Test,Level 1 → Level 2 → Speed Test,2
S074,Percentages,28,351,Speed Test,Level 2 → Level 1 → Speed Test,1
S075,Time Speed and Distance,16,396,Level 1,Level 1 → Speed Test → Level 2,3
S076,Time and Work,20,290,Speed Test,Level 2 → Level 1 → Speed Test,3
S077,Time Speed and Distance,40,467,Level 1,Level 2 → Level 1 → Speed Test,4
S078,Time Speed and Distance,12,618,Level 1,Speed Test → Level 1 → Level 2,2
S079,Percentages,4,387,Level 2,Level 1 → Level 2 → Speed Test,1
S080,Time and Work,12,712,Level 2,Level 1 → Level 2 → Speed Test,2
S081,Time and Work,0,239,Level 1,Level 1 → Speed Test → Level 2,1
S082,Time Speed and Distance,32,524,Speed Test,Level 1 → Level 2 → Speed Test,1
S083,Time and Work,0,617,Speed Test,Level 1 → Level 2 → Speed Test,3
S084,Percentages,32,760,Speed Test,Speed Test → Level 1 → Level 2,3
S085,Percentages,8,497,Speed Test,Level 2 → Level 1 → Speed Test,4
S086,Time and Work,0,493,Level 1,Level 1 → Speed Test → Level 2,3
S087,Time Speed and Distance,24,504,Speed Test,Level 1 → Level 2 → Speed Test,1
S088,Time and Work,0,565,Level 2,Speed Test → Level 1 → Level 2,1
S089,Percentages,4,718,Level 1,Speed Test → Level 1 → Level 2,3
S090,Time and Work,4,474,Speed Test,Level 1 → Level 2 → Speed Test,3
S091,Time Speed and Distance,32,625,Level 2,Level 1 → Speed Test → Level 2,3
S092,Time Speed and Distance,4,528,Level 1,Level 1 → Speed Test → Level 2,4
S093,Time Speed and Distance,36,518,Speed Test,Level 2 → Level 1 → Speed Test,2
S094,Time Speed and Distance,16,650,Level 1,Speed Test → Level 1 → Level 2,5
S095,Time Speed and Distance,8,628,Level 2,Speed Test → Level 1 → Level 2,2
S096,Percentages,12,502,Level 1,Speed Test → Level 1 → Level 2,5
S097,Time Speed and Distance,8,199,Level 2,Level 2 → Level 1 → Speed Test,2
S098,Percentages,8,873,Speed Test,Level 1 → Speed Test → Level 2,4
S099,Time Speed and Distance,0,227,Level 2,Level 2 → Level 1 → Speed Test,4
S100,Time and Work,16,315,Level 1,Level 1 → Level 2 → Speed Test,3
S101,Time Speed and Distance,36,858,Speed Test,Level 2 → Level 1 → Speed Test,2
S102,Time and Work,40,693,Level 1,Level 1 → Level 2 → Speed Test,4
S103,Time Speed and Distance,20,152,Speed Test,Speed Test → Level 1 → Level 2,1
S104,Time and Work,0,712,Level 2,Level 2 → Level 1 → Speed Test,5
S105,Time Speed and Distance,40,156,Level 1,Level 2 → Level 1 → Speed Test,1
S106,Time and Work,20,255,Level 2,Speed Test → Level 1 → Level 2,5
S107,Time and Work,20,728,Level 1,Level 1 → Level 2 → Speed Test,1
S108,Time Speed and Distance,40,239,Speed Test,Speed Test → Level 1 → Level 2,1
S109,Time and Work,24,406,Speed Test,Level 1 → Speed Test → Level 2,3
S110,Time Speed and Distance,8,288,Speed Test,Level 2 → Level 1 → Speed Test,1
S111,Percentages,24,118,Speed Test,Speed Test → Level 1 → Level 2,4
S112,Percentages,0,176,Speed Test,Level 2 → Level 1 → Speed Test,2
S113,Percentages,4,803,Level 1,Level 2 → Level 1 → Speed Test,2
S114,Percentages,40,421,Level 1,Level 1 → Level 2 → Speed Test,1
S115,Percentages,36,385,Level 2,Level 2 → Level 1 → Speed Test,4
S116,Percentages,12,666,Level 2,Level 1 → Speed Test → Level 2,1
S117,Time Speed and Distance,20,717,Speed Test,Level 2 → Level 1 → Speed Test,2
S118,Time Speed and Distance,20,891,Speed Test,Level 1 → Speed Test → Level 2,4
S119,Percentages,16,804,Speed Test,Level 1 → Level 2 → Speed Test,5
S120,Time and Work,8,125,Level 2,Level 1 → Speed Test → Level 2,2
S121,Time and Work,36,170,Level 2,Speed Test → Level 1 → Level 2,5
S122,Time Speed and Distance,8,868,Speed Test,Level 2 → Level 1 → Speed Test,4
S123,Time Speed and Distance,4,785,Speed Test,Level 1 → Speed Test → Level 2,2
S124,Time Speed and Distance,4,644,Level 2,Level 1 → Speed Test → Level 2,3
S125,Time Speed and Distance,32,159,Level 1,Level 2 → Level 1 → Speed Test,5
S126,Time and Work,24,113,Speed Test,Speed Test → Level 1 → Level 2,1
S127,Time Speed and Distance,12,646,Speed Test,Level 1 → Speed Test → Level 2,4
S128,Time Speed and Distance,8,713,Speed Test,Speed Test → Level 1 → Level 2,1
S129,Time Speed and Distance,32,578,Level 2,Speed Test → Level 1 → Level 2,1
S130,Time Speed and Distance,32,234,Level 2,Speed Test → Level 1 → Level 2,4
S131,Time Speed and Distance,20,673,Speed Test,Level 1 → Speed Test → Level 2,5
S132,Percentages,16,721,Speed Test,Level 2 → Level 1 → Speed Test,2
S133,Time Speed and Distance,40,882,Speed Test,Speed Test → Level 1 → Level 2,2
S134,Time Speed and Distance,0,765,Level 1,Level 1 → Level 2 → Speed Test,1
S135,Percentages,24,432,Speed Test,Level 2 → Level 1 → Speed Test,5
S136,Percentages,4,695,Level 2,Level 1 → Speed Test → Level 2,4
S137,Time Speed and Distance,24,192,Speed Test,Speed Test → Level 1 → Level 2,4
S138,Time Speed and Distance,0,351,Level 2,Level 1 → Speed Test → Level 2,4
S139,Time and Work,8,193,Speed Test,Speed Test → Level 1 → Level 2,5
S140,Time Speed and Distance,16,504,Speed Test,Level 2 → Level 1 → Speed Test,3
S141,Percentages,16,600,Level 1,Level 2 → Level 1 → Speed Test,5
S142,Percentages,32,159,Level 2,Level 2 → Level 1 → Speed Test,3
S143,Time and Work,12,480,Level 2,Level 1 → Speed Test → Level 2,3
S144,Percentages,12,118,Level 2,Level 2 → Level 1 → Speed Test,2
S145,Percentages,12,123,Level 1,Level 1 → Level 2 → Speed Test,4
S146,Percentages,8,541,Level 1,Level 1 → Speed Test → Level 2,4
S147,Time and Work,36,428,Speed Test,Level 1 → Speed Test → Level 2,5
S148,Time Speed and Distance,8,125,Speed Test,Speed Test → Level 1 → Level 2,4
S149,Time Speed and Distance,28,560,Speed Test,Speed Test → Level 1 → Level 2,1
S150,Time and Work,20,658,Level 2,Level 2 → Level 1 → Speed Test,2
S151,Percentages,8,664,Speed Test,Level 1 → Level 2 → Speed Test,1
S152,Time Speed and Distance,0,693,Speed Test,Speed Test → Level 1 → Level 2,4
S153,Time and Work,12,327,Level 2,Level 1 → Speed Test → Level 2,5
S154,Time and Work,8,645,Speed Test,Level 1 → Speed Test → Level 2,4
S155,Time and Work,40,528,Level 1,Level 2 → Level 1 → Speed Test,1
S156,Percentages,40,812,Level 1,Speed Test → Level 1 → Level 2,4
S157,Percentages,16,281,Speed Test,Level 2 → Level 1 → Speed Test,5
S158,Time and Work,0,670,Level 1,Level 2 → Level 1 → Speed Test,3
S159,Percentages,4,700,Level 2,Level 2 → Level 1 → Speed Test,4
S160,Time Speed and Distance,32,675,Level 1,Level 2 → Level 1 → Speed Test,5
S161,Percentages,16,720,Level 2,Level 1 → Level 2 → Speed Test,5
S162,Percentages,0,655,Level 1,Speed Test → Level 1 → Level 2,5
S163,Time Speed and Distance,0,885,Speed Test,Level 1 → Level 2 → Speed Test,5
S164,Percentages,36,136,Speed Test,Level 2 → Level 1 → Speed Test,4
S165,Percentages,20,567,Level 1,Speed Test → Level 1 → Level 2,1
S166,Percentages,36,485,Level 1,Level 2 → Level 1 → Speed Test,4
S167,Time Speed and Distance,0,721,Speed Test,Level 1 → Level 2 → Speed Test,1
S168,Percentages,24,260,Speed Test,Level 2 → Level 1 → Speed Test,3
S169,Time Speed and Distance,40,430,Level 2,Speed Test → Level 1 → Level 2,1
S170,Percentages,40,515,Level 2,Level 1 → Level 2 → Speed Test,1
S171,Percentages,40,774,Speed Test,Level 2 → Level 1 → Speed Test,4
S172,Percentages,36,154,Level 2,Level 1 → Speed Test → Level 2,5
S173,Time and Work,4,203,Speed Test,Speed Test → Level 1 → Level 2,1
S174,Time and Work,0,687,Speed Test,Speed Test → Level 1 → Level 2,3
S175,Percentages,24,398,Level 1,Level 1 → Level 2 → Speed Test,4
S176,Percentages,40,288,Level 1,Level 2 → Level 1 → Speed Test,4
S177,Percentages,28,379,Level 2,Level 2 → Level 1 → Speed Test,2
S178,Time Speed and Distance,16,749,Level 2,Speed Test → Level 1 → Level 2,1
S179,Percentages,12,765,Speed Test,Level 1 → Speed Test → Level 2,5
S180,Time Speed and Distance,40,391,Speed Test,Level 1 → Speed Test → Level 2,1
S181,Time and Work,40,616,Level 2,Level 1 → Speed Test → Level 2,1
S182,Time and Work,4,628,Speed Test,Level 1 → Level 2 → Speed Test,5
S183,Time Speed and Distance,32,875,Level 1,Level 2 → Level 1 → Speed Test,5
S184,Percentages,28,764,Level 2,Level 1 → Speed Test → Level 2,5
S185,Time Speed and Distance,36,659,Level 1,Speed Test → Level 1 → Level 2,5
S186,Time and Work,20,478,Level 2,Speed Test → Level 1 → Level 2,4
S187,Percentages,12,282,Level 1,Level 1 → Speed Test → Level 2,5
S188,Time Speed and Distance,12,374,Speed Test,Level 1 → Speed Test → Level 2,4
S189,Time Speed and Distance,16,233,Level 2,Speed Test → Level 1 → Level 2,2
S190,Percentages,20,167,Level 1,Level 1 → Speed Test → Level 2,4
S191,Time and Work,36,587,Speed Test,Level 2 → Level 1 → Speed Test,3
S192,Percentages,24,337,Level 1,Speed Test → Level 1 → Level 2,1
S193,Time and Work,16,739,Level 1,Speed Test → Level 1 → Level 2,3
S194,Time Speed and Distance,12,489,Speed Test,Level 1 → Level 2 → Speed Test,5
S195,Time Speed and Distance,36,653,Level 2,Speed Test → Level 1 → Level 2,2
S196,Time and Work,28,755,Speed Test,Level 1 → Speed Test → Level 2,2
S197,Time and Work,8,430,Speed Test,Level 1 → Level 2 → Speed Test,2
S198,Time and Work,24,146,Speed Test,Level 1 → Level 2 → Speed Test,5
S199,Time and Work,16,199,Level 1,Level 1 → Speed Test → Level 2,2
S200,Percentages,40,511,Speed Test,Speed Test → Level 1 → Level 2,3
